run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T191018+0000-B-lego-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,lego,-1,False,0.3,True,1x,1x,30000,0,36.0831,0.98382,0.01527,vgg,227932,57.44,4355,1338.8,8.661,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-lego-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,lego,-1,False,0.3,True,1x,1/2,30000,0,31.8793,0.98023,0.01607,vgg,227932,57.44,4355,1338.8,8.661,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-lego-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,lego,-1,False,0.3,True,1x,1/4,30000,0,27.2166,0.95836,0.03532,vgg,227932,57.44,4355,1338.8,8.661,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-lego-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,lego,-1,False,0.3,True,1x,1/8,30000,0,24.1008,0.93453,0.06543,vgg,227932,57.44,4355,1338.8,8.661,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-lego-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,lego,-1,False,0.1,False,1x,1x,30000,0,35.8818,0.98378,0.01505,vgg,293371,73.93,4653,1511.5,8.374,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-lego-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,lego,-1,False,0.1,False,1x,1/2,30000,0,35.4345,0.98901,0.00852,vgg,293371,73.93,4653,1511.5,8.374,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-lego-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,lego,-1,False,0.1,False,1x,1/4,30000,0,31.8458,0.98477,0.01333,vgg,293371,73.93,4653,1511.5,8.374,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-lego-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,lego,-1,False,0.1,False,1x,1/8,30000,0,28.2608,0.97344,0.02541,vgg,293371,73.93,4653,1511.5,8.374,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-materials-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,materials,-1,False,0.1,False,1x,1x,30000,0,30.2652,0.96186,0.03318,vgg,242196,61.03,4333,1272.1,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-materials-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,materials,-1,False,0.1,False,1x,1/2,30000,0,31.1993,0.97460,0.01560,vgg,242196,61.03,4333,1272.1,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-materials-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,materials,-1,False,0.1,False,1x,1/4,30000,0,30.6662,0.98194,0.01194,vgg,242196,61.03,4333,1272.1,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-materials-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,materials,-1,False,0.1,False,1x,1/8,30000,0,28.1997,0.98051,0.01472,vgg,242196,61.03,4333,1272.1,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-materials-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,materials,-1,False,0.3,True,1x,1x,30000,0,30.1209,0.96083,0.03434,vgg,216405,54.54,4383,1211.3,9.064,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-materials-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,materials,-1,False,0.3,True,1x,1/2,30000,0,29.6599,0.96950,0.01888,vgg,216405,54.54,4383,1211.3,9.064,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-materials-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,materials,-1,False,0.3,True,1x,1/4,30000,0,26.6565,0.96233,0.02050,vgg,216405,54.54,4383,1211.3,9.064,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-materials-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,materials,-1,False,0.3,True,1x,1/8,30000,0,23.1991,0.94204,0.02893,vgg,216405,54.54,4383,1211.3,9.064,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-mic-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,mic,-1,False,0.1,False,1x,1x,30000,0,35.6498,0.99189,0.00590,vgg,407337,102.65,7207,1720.7,10.347,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-mic-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,mic,-1,False,0.1,False,1x,1/2,30000,0,35.7319,0.99308,0.00476,vgg,407337,102.65,7207,1720.7,10.347,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-mic-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,mic,-1,False,0.1,False,1x,1/4,30000,0,30.4515,0.98783,0.01513,vgg,407337,102.65,7207,1720.7,10.347,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-mic-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,mic,-1,False,0.1,False,1x,1/8,30000,0,25.0230,0.97199,0.03391,vgg,407337,102.65,7207,1720.7,10.347,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-mic-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,mic,-1,False,0.3,True,1x,1x,30000,0,35.4449,0.99157,0.00615,vgg,414389,104.43,7229,1680.7,9.967,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-mic-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,mic,-1,False,0.3,True,1x,1/2,30000,0,31.0576,0.98450,0.00823,vgg,414389,104.43,7229,1680.7,9.967,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-mic-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,mic,-1,False,0.3,True,1x,1/4,30000,0,24.4475,0.95963,0.02783,vgg,414389,104.43,7229,1680.7,9.967,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-mic-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,mic,-1,False,0.3,True,1x,1/8,30000,0,19.7021,0.91401,0.05581,vgg,414389,104.43,7229,1680.7,9.967,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
